label,stage,variant,H,W,K,seed,rep,exit_status,min_pct_enabled,L1-dcache-loads,L1-dcache-load-misses,branch-instructions,branch-misses,instructions,cpu-cycles,context-switches,page-faults,L1D_MPKI,L1D_miss_rate,branch_MPKI,branch_rate,branch_miss_rate,IPC,CPI
calibration,calibration,default,4096,4096,3,1234,18,0,99,121012820,656326,144820491,8550788,1019534984,543840311,2,32918,0.64375,0.00542361,8.38695,0.142046,0.059044,1.8747,0.53342
calibration,calibration,default,4096,4096,3,1234,19,0,99,121013128,678440,144823026,8543416,1019546759,541380713,3,32919,0.665433,0.00560633,8.37962,0.142046,0.0589921,1.88323,0.531001
calibration,calibration,default,4096,4096,3,1234,20,0,99,121025828,666353,144838566,8546943,1019658824,540139556,1,32920,0.653506,0.00550587,8.38216,0.142046,0.0590101,1.88777,0.529726
calibration,calibration,default,8192,8192,3,1234,1,0,99,482457779,2629512,577586369,34025284,4067024839,2167871130,3,131238,0.646544,0.00545024,8.36614,0.142017,0.0589094,1.87605,0.533036
calibration,calibration,default,8192,8192,3,1234,2,0,99,482502500,2626766,577639946,34046709,4067398494,2159587855,6,131237,0.64581,0.00544405,8.37064,0.142017,0.0589411,1.88341,0.530951
calibration,calibration,default,8192,8192,3,1234,3,0,99,482463456,2663901,577580623,34021002,4066947760,2158540709,5,131240,0.655012,0.00552146,8.36524,0.142018,0.0589026,1.88412,0.530752
calibration,calibration,default,8192,8192,3,1234,4,0,99,482465373,2666615,577584382,34055026,4066963133,2168236339,3,131239,0.655677,0.00552706,8.37358,0.142019,0.0589611,1.8757,0.533134
calibration,calibration,default,8192,8192,3,1234,5,0,99,482500564,2655567,577616590,34030650,4067167899,2170895075,3,131240,0.652928,0.00550376,8.36716,0.142019,0.0589156,1.8735,0.533761
calibration,calibration,default,8192,8192,3,1234,6,0,99,482451553,2663141,577570110,34036995,4066868596,2175675830,7,131240,0.654838,0.00552002,8.36934,0.142018,0.0589314,1.86924,0.534976
calibration,calibration,default,8192,8192,3,1234,7,0,99,482452993,2714870,577571406,34042633,4066878946,2175347119,2,131240,0.667556,0.00562722,8.3707,0.142018,0.058941,1.86953,0.534894
calibration,calibration,default,8192,8192,3,1234,8,0,99,482456948,2648237,577575344,34035125,4066922523,2169328730,6,131236,0.651165,0.00548906,8.36877,0.142018,0.0589276,1.87474,0.533408
