stage,label,version,H,W,K,seed,rep,correct,naive_ms,stage_ms,gflops,speedup
simd,simd256_v3,conv_simd256_v3,4096,4096,3,1234,1,yes,71.670,8.324,36.28,8.61
simd,simd256_v3,conv_simd256_v3,4096,4096,3,1234,2,yes,71.967,8.154,37.04,8.83
simd,simd256_v3,conv_simd256_v3,4096,4096,3,1234,3,yes,74.326,8.168,36.97,9.10
simd,simd256_v3,conv_simd256_v3,4096,4096,3,1234,4,yes,77.027,8.134,37.13,9.47
simd,simd256_v3,conv_simd256_v3,4096,4096,3,1234,5,yes,76.886,8.491,35.56,9.05
simd,simd256_v3,conv_simd256_v3,4096,4096,3,1234,6,yes,71.224,8.405,35.93,8.47
simd,simd256_v3,conv_simd256_v3,4096,4096,3,1234,7,yes,70.975,8.240,36.65,8.61
simd,simd256_v3,conv_simd256_v3,4096,4096,3,1234,8,yes,76.527,8.279,36.48,9.24
simd,simd256_v3,conv_simd256_v3,4096,4096,3,1234,9,yes,77.340,8.328,36.26,9.29
simd,simd256_v3,conv_simd256_v3,4096,4096,3,1234,10,yes,76.657,8.544,35.35,8.97
simd,simd256_v3,conv_simd256_v3,4096,4096,3,1234,11,yes,77.155,8.200,36.83,9.41
simd,simd256_v3,conv_simd256_v3,4096,4096,3,1234,12,yes,77.727,8.219,36.74,9.46
simd,simd256_v3,conv_simd256_v3,4096,4096,3,1234,13,yes,78.685,8.346,36.18,9.43
simd,simd256_v3,conv_simd256_v3,4096,4096,3,1234,14,yes,75.309,8.390,36.00,8.98
simd,simd256_v3,conv_simd256_v3,4096,4096,3,1234,15,yes,78.585,8.337,36.22,9.43
simd,simd256_v3,conv_simd256_v3,4096,4096,3,1234,16,yes,76.444,8.200,36.83,9.32
simd,simd256_v3,conv_simd256_v3,4096,4096,3,1234,17,yes,77.438,8.264,36.54,9.37
simd,simd256_v3,conv_simd256_v3,4096,4096,3,1234,18,yes,71.574,8.326,36.27,8.60
simd,simd256_v3,conv_simd256_v3,4096,4096,3,1234,19,yes,77.480,8.135,37.12,9.52
simd,simd256_v3,conv_simd256_v3,4096,4096,3,1234,20,yes,77.958,8.321,36.29,9.37
simd,simd256_v3,conv_simd256_v3,8192,8192,3,1234,1,yes,308.279,39.584,30.52,7.79
simd,simd256_v3,conv_simd256_v3,8192,8192,3,1234,2,yes,307.193,39.534,30.55,7.77
simd,simd256_v3,conv_simd256_v3,8192,8192,3,1234,3,yes,305.892,39.856,30.31,7.67
simd,simd256_v3,conv_simd256_v3,8192,8192,3,1234,4,yes,286.253,40.302,29.97,7.10
simd,simd256_v3,conv_simd256_v3,8192,8192,3,1234,5,yes,309.335,38.748,31.17,7.98
simd,simd256_v3,conv_simd256_v3,8192,8192,3,1234,6,yes,300.071,39.912,30.27,7.52
simd,simd256_v3,conv_simd256_v3,8192,8192,3,1234,7,yes,287.423,39.729,30.41,7.23
simd,simd256_v3,conv_simd256_v3,8192,8192,3,1234,8,yes,285.682,38.767,31.16,7.37
simd,simd256_v3,conv_simd256_v3,8192,8192,3,1234,9,yes,296.684,38.749,31.17,7.66
simd,simd256_v3,conv_simd256_v3,8192,8192,3,1234,10,yes,305.459,38.918,31.04,7.85
simd,simd256_v3,conv_simd256_v3,8192,8192,3,1234,11,yes,298.953,40.403,29.90,7.40
simd,simd256_v3,conv_simd256_v3,8192,8192,3,1234,12,yes,295.732,40.198,30.05,7.36
simd,simd256_v3,conv_simd256_v3,8192,8192,3,1234,13,yes,294.611,33.577,35.98,8.77
simd,simd256_v3,conv_simd256_v3,8192,8192,3,1234,14,yes,304.174,38.713,31.20,7.86
simd,simd256_v3,conv_simd256_v3,8192,8192,3,1234,15,yes,307.492,38.730,31.19,7.94
simd,simd256_v3,conv_simd256_v3,8192,8192,3,1234,16,yes,292.985,40.497,29.83,7.23
simd,simd256_v3,conv_simd256_v3,8192,8192,3,1234,17,yes,294.803,33.387,36.18,8.83
simd,simd256_v3,conv_simd256_v3,8192,8192,3,1234,18,yes,300.142,38.977,30.99,7.70
simd,simd256_v3,conv_simd256_v3,8192,8192,3,1234,19,yes,311.213,38.700,31.21,8.04
simd,simd256_v3,conv_simd256_v3,8192,8192,3,1234,20,yes,307.869,38.663,31.24,7.96
simd,simd256_v3,conv_simd256_v3,16384,16384,3,1234,1,yes,1241.011,166.006,29.11,7.48
simd,simd256_v3,conv_simd256_v3,16384,16384,3,1234,2,yes,1248.751,165.977,29.11,7.52
simd,simd256_v3,conv_simd256_v3,16384,16384,3,1234,3,yes,1144.275,165.938,29.12,6.90
simd,simd256_v3,conv_simd256_v3,16384,16384,3,1234,4,yes,1232.201,166.003,29.11,7.42
simd,simd256_v3,conv_simd256_v3,16384,16384,3,1234,5,yes,1245.461,165.896,29.13,7.51
simd,simd256_v3,conv_simd256_v3,16384,16384,3,1234,6,yes,1147.054,165.736,29.15,6.92
simd,simd256_v3,conv_simd256_v3,16384,16384,3,1234,7,yes,1144.219,165.803,29.14,6.90
simd,simd256_v3,conv_simd256_v3,16384,16384,3,1234,8,yes,1147.578,165.896,29.13,6.92
simd,simd256_v3,conv_simd256_v3,16384,16384,3,1234,9,yes,1241.128,165.885,29.13,7.48
simd,simd256_v3,conv_simd256_v3,16384,16384,3,1234,10,yes,1233.808,173.571,27.84,7.11
simd,simd256_v3,conv_simd256_v3,16384,16384,3,1234,11,yes,1235.276,168.947,28.60,7.31
simd,simd256_v3,conv_simd256_v3,16384,16384,3,1234,12,yes,1229.977,168.721,28.64,7.29
simd,simd256_v3,conv_simd256_v3,16384,16384,3,1234,13,yes,1266.376,169.012,28.59,7.49
simd,simd256_v3,conv_simd256_v3,16384,16384,3,1234,14,yes,1201.277,169.866,28.44,7.07
simd,simd256_v3,conv_simd256_v3,16384,16384,3,1234,15,yes,1147.109,168.782,28.63,6.80
simd,simd256_v3,conv_simd256_v3,16384,16384,3,1234,16,yes,1235.817,169.256,28.55,7.30
simd,simd256_v3,conv_simd256_v3,16384,16384,3,1234,17,yes,1180.166,166.966,28.94,7.07
simd,simd256_v3,conv_simd256_v3,16384,16384,3,1234,18,yes,1155.417,170.476,28.34,6.78
simd,simd256_v3,conv_simd256_v3,16384,16384,3,1234,19,yes,1158.177,166.894,28.95,6.94
simd,simd256_v3,conv_simd256_v3,16384,16384,3,1234,20,yes,1204.542,172.057,28.08,7.00
