label,stage,variant,H,W,K,seed,rep,exit_status,min_pct_enabled,L1-dcache-loads,L1-dcache-load-misses,branch-instructions,branch-misses,instructions,cpu-cycles,context-switches,page-faults
naive,naive,default,512,512,3,1234,5,0,93,7729411,22222,6835172,157426,41921217,15539430,1,905
naive,naive,default,512,512,3,1234,6,0,100,7438103,29755,6538961,151119,40017857,15217857,1,905
naive,naive,default,512,512,3,1234,7,0,93,7741773,25489,6845526,153433,41982233,15280121,1,904
naive,naive,default,512,512,3,1234,8,0,100,7438534,29786,6539012,150445,40019961,15214442,1,903
naive,naive,default,512,512,3,1234,9,0,93,7732063,24577,6837090,156104,41934808,15433771,1,903
naive,naive,default,512,512,3,1234,10,0,93,7753593,27971,6852053,155214,42025135,15378567,2,905
naive,naive,default,512,512,3,1234,11,0,93,7701506,27148,6809352,154552,41763638,15426624,1,903
naive,naive,default,512,512,3,1234,12,0,93,7720088,23287,6827167,154975,41873915,15407046,1,902
naive,naive,default,512,512,3,1234,13,0,92,7810671,26750,6906418,158486,42356605,15663857,1,902
naive,naive,default,512,512,3,1234,14,0,100,7431389,26572,6533978,147567,39989701,14882222,0,902
naive,naive,default,512,512,3,1234,15,0,93,7730097,26290,6834584,155743,41922483,15316614,1,902
naive,naive,default,512,512,3,1234,16,0,92,7747372,23163,6851002,155573,42019756,15210575,1,904
naive,naive,default,512,512,3,1234,17,0,93,7692059,23382,6802175,152762,41719209,15364306,1,903
naive,naive,default,512,512,3,1234,18,0,92,7793999,26013,6887493,155327,42246251,15514493,2,904
naive,naive,default,512,512,3,1234,19,0,100,7433664,29637,6535010,149759,40000071,15113252,1,902
naive,naive,default,512,512,3,1234,20,0,93,7725520,25374,6831156,154407,41898229,15325115,1,903
