label,stage,variant,H,W,K,seed,rep,event,value,unit,counter_runtime_ns,pct_enabled
optimized,optimized,default,128,128,3,1234,17,context-switches,2,,1154418,100
optimized,optimized,default,128,128,3,1234,17,page-faults,181,,1154418,100
optimized,optimized,default,128,128,3,1234,18,L1-dcache-loads,742273,,675776,62
optimized,optimized,default,128,128,3,1234,18,L1-dcache-load-misses,25301,,675776,62
optimized,optimized,default,128,128,3,1234,18,branch-instructions,638457,,675776,62
optimized,optimized,default,128,128,3,1234,18,branch-misses,27029,,675776,62
optimized,optimized,default,128,128,3,1234,18,instructions,3909336,,675776,62
optimized,optimized,default,128,128,3,1234,18,cpu-cycles,3966838,,675776,62
optimized,optimized,default,128,128,3,1234,18,context-switches,1,,1087526,100
optimized,optimized,default,128,128,3,1234,18,page-faults,179,,1087526,100
optimized,optimized,default,128,128,3,1234,19,L1-dcache-loads,763950,,663925,60
optimized,optimized,default,128,128,3,1234,19,L1-dcache-load-misses,23328,,663925,60
optimized,optimized,default,128,128,3,1234,19,branch-instructions,657159,,663925,60
optimized,optimized,default,128,128,3,1234,19,branch-misses,28430,,663925,60
optimized,optimized,default,128,128,3,1234,19,instructions,4021730,,663925,60
optimized,optimized,default,128,128,3,1234,19,cpu-cycles,4009337,,663925,60
optimized,optimized,default,128,128,3,1234,19,context-switches,1,,1100113,100
optimized,optimized,default,128,128,3,1234,19,page-faults,178,,1100113,100
optimized,optimized,default,128,128,3,1234,20,L1-dcache-loads,698302,,1007236,100
optimized,optimized,default,128,128,3,1234,20,L1-dcache-load-misses,20493,,1007236,100
optimized,optimized,default,128,128,3,1234,20,branch-instructions,568334,,1007236,100
optimized,optimized,default,128,128,3,1234,20,branch-misses,23230,,1007236,100
optimized,optimized,default,128,128,3,1234,20,instructions,3395595,,1007236,100
optimized,optimized,default,128,128,3,1234,20,cpu-cycles,3617421,,1007236,100
optimized,optimized,default,128,128,3,1234,20,context-switches,1,,1007236,100
optimized,optimized,default,128,128,3,1234,20,page-faults,178,,1007236,100
optimized,optimized,default,256,256,3,1234,1,L1-dcache-loads,1240354,,1400640,74
optimized,optimized,default,256,256,3,1234,1,L1-dcache-load-misses,31071,,1400640,74
optimized,optimized,default,256,256,3,1234,1,branch-instructions,1201868,,1400640,74
optimized,optimized,default,256,256,3,1234,1,branch-misses,57439,,1400640,74
optimized,optimized,default,256,256,3,1234,1,instructions,7900768,,1400640,74
optimized,optimized,default,256,256,3,1234,1,cpu-cycles,6770546,,1400640,74
optimized,optimized,default,256,256,3,1234,1,context-switches,1,,1869250,100
optimized,optimized,default,256,256,3,1234,1,page-faults,328,,1869250,100
optimized,optimized,default,256,256,3,1234,2,L1-dcache-loads,1237075,,1402352,75
optimized,optimized,default,256,256,3,1234,2,L1-dcache-load-misses,31446,,1402352,75
optimized,optimized,default,256,256,3,1234,2,branch-instructions,1197817,,1402352,75
optimized,optimized,default,256,256,3,1234,2,branch-misses,56110,,1402352,75
optimized,optimized,default,256,256,3,1234,2,instructions,7876173,,1402352,75
optimized,optimized,default,256,256,3,1234,2,cpu-cycles,6756995,,1402352,75
optimized,optimized,default,256,256,3,1234,2,context-switches,1,,1861523,100
optimized,optimized,default,256,256,3,1234,2,page-faults,327,,1861523,100
optimized,optimized,default,256,256,3,1234,3,L1-dcache-loads,1227613,,1462145,75
optimized,optimized,default,256,256,3,1234,3,L1-dcache-load-misses,29195,,1462145,75
optimized,optimized,default,256,256,3,1234,3,branch-instructions,1191163,,1462145,75
optimized,optimized,default,256,256,3,1234,3,branch-misses,54607,,1462145,75
optimized,optimized,default,256,256,3,1234,3,instructions,7827652,,1462145,75
optimized,optimized,default,256,256,3,1234,3,cpu-cycles,7033830,,1462145,75
optimized,optimized,default,256,256,3,1234,3,context-switches,1,,1937173,100
optimized,optimized,default,256,256,3,1234,3,page-faults,325,,1937173,100
optimized,optimized,default,256,256,3,1234,4,L1-dcache-loads,1275187,,1495776,72
optimized,optimized,default,256,256,3,1234,4,L1-dcache-load-misses,30974,,1495776,72
optimized,optimized,default,256,256,3,1234,4,branch-instructions,1238019,,1495776,72
optimized,optimized,default,256,256,3,1234,4,branch-misses,57037,,1495776,72
optimized,optimized,default,256,256,3,1234,4,instructions,8138202,,1495776,72
optimized,optimized,default,256,256,3,1234,4,cpu-cycles,7454942,,1495776,72
optimized,optimized,default,256,256,3,1234,4,context-switches,2,,2064812,100
optimized,optimized,default,256,256,3,1234,4,page-faults,323,,2064812,100
optimized,optimized,default,256,256,3,1234,5,L1-dcache-loads,1237785,,1387162,74
optimized,optimized,default,256,256,3,1234,5,L1-dcache-load-misses,29746,,1387162,74
optimized,optimized,default,256,256,3,1234,5,branch-instructions,1200443,,1387162,74
optimized,optimized,default,256,256,3,1234,5,branch-misses,56098,,1387162,74
optimized,optimized,default,256,256,3,1234,5,instructions,7895060,,1387162,74
optimized,optimized,default,256,256,3,1234,5,cpu-cycles,6731437,,1387162,74
optimized,optimized,default,256,256,3,1234,5,context-switches,1,,1854170,100
optimized,optimized,default,256,256,3,1234,5,page-faults,326,,1854170,100
optimized,optimized,default,256,256,3,1234,6,L1-dcache-loads,1163705,,1760951,100
optimized,optimized,default,256,256,3,1234,6,L1-dcache-load-misses,28385,,1760951,100
optimized,optimized,default,256,256,3,1234,6,branch-instructions,1069954,,1760951,100
optimized,optimized,default,256,256,3,1234,6,branch-misses,48281,,1760951,100
optimized,optimized,default,256,256,3,1234,6,instructions,6871862,,1760951,100
optimized,optimized,default,256,256,3,1234,6,cpu-cycles,6055561,,1760951,100
optimized,optimized,default,256,256,3,1234,6,context-switches,1,,1760951,100
optimized,optimized,default,256,256,3,1234,6,page-faults,327,,1760951,100
